Mutant,testBalde_E1,testBalde_getVolume,testBalde_E2_4caso_true,testBalde_Solucao,testBalde_E2_2caso_true,testBalde_E4,testBalde_E2_3caso_true,testBalde_E3,testBalde_E2_1caso_true,Total,Equiv?
AOIS_84, , , ,1, , , , , ,1, 
AOIS_83, , , ,1, , , , , ,1, 
AOIS_82, , , , , , , , , ,0, 
AOIS_81, , , , , , , , , ,0, 
AOIS_91, , , , , , , , , ,0, 
AOIS_90, , , ,1, , , , , ,1, 
AOIS_79, , , ,1, , , , , ,1, 
AOIS_78, , , ,1, , , , , ,1, 
AOIS_77, , , ,1, , , , , ,1, 
AOIS_76, , , ,1, , , , , ,1, 
AOIS_75, , , ,1, , , , , ,1, 
AOIS_74, , , ,1, , , , , ,1, 
AOIS_73, , , ,1, , , , , ,1, 
LOI_18, , , ,1, ,1, , , ,2, 
AOIS_72, , , ,1, , , , , ,1, 
LOI_19, , , ,1, ,1, , , ,2, 
AOIS_71, , , ,1, , , , , ,1, 
ROR_70, , , , , , , , , ,0, 
AOIS_70, , , , , , , , , ,0, 
AOIS_80, , , ,1, , , , , ,1, 
LOI_25, , , ,1, , , , , ,1, 
LOI_26, , , ,1, , , , , ,1, 
LOI_27, , , ,1, , , , , ,1, 
LOI_28, , , , , , , , , ,0, 
LOI_21, , , ,1, ,1, , , ,2, 
LOI_22, , , ,1, ,1, , , ,2, 
LOI_23, , , ,1, ,1, , , ,2, 
LOI_24, , , ,1, , , , , ,1, 
LOI_20, , , ,1, ,1, , , ,2, 
ROR_69, , , , , , , , , ,0, 
ROR_68, , , , , , , , , ,0, 
ROR_65, , , , , , , , , ,0, 
AOIS_69, , , , , , , , , ,0, 
ROR_64, , , , , , , , , ,0, 
AOIS_68, , , , , , , , , ,0, 
ROR_67, , , , , , , , , ,0, 
AOIS_67, , , ,1, ,1, , , ,2, 
ROR_66, , , , , , , , , ,0, 
AOIS_66, , , ,1, , , , , ,1, 
ROR_61, , , , , , , , , ,0, 
AOIS_65, , , ,1, , , , , ,1, 
ROR_60, , , , , , , , , ,0, 
AOIS_64, , , ,1, , , , , ,1, 
ROR_63, , , , , , , , , ,0, 
AOIS_63, , , ,1, ,1, , , ,2, 
ROR_62, , , , , , , , , ,0, 
AOIS_62, , , ,1, , , , , ,1, 
AOIS_61, , , ,1, ,1, , , ,2, 
AOIS_60, , , ,1, , , , , ,1, 
LOI_14, , , ,1, ,1, , , ,2, 
LOI_15, , , ,1, ,1, , , ,2, 
LOI_16, , , ,1, ,1, , , ,2, 
LOI_17, , , ,1, ,1, , , ,2, 
LOI_10, , , ,1, ,1,1,1, ,4, 
LOI_11, , ,1, , , , , , ,1, 
LOI_12, , , ,1, ,1, ,1, ,3, 
LOI_13, , , ,1, ,1, , , ,2, 
